ID_Usuário,Idade,País,Assinaturas,Tempo_assistido,Genero_favorito,Ultimo_Login
1,18,France,Premium,80.26,Drama,2024-05-12
2,23,USA,Premium,321.75,Ficcao cientifica,2025-02-05
3,60,UK,Basico,35.89,Comedia,2025-01-24
4,44,USA,Premium,261.56,Documentario,2024-03-25
5,68,USA,Padrao,909.3,Drama,2025-01-14
6,21,USA,Padrao,615.93,Romance,2025-02-03
7,57,Canada,Padrao,755.47,Romance,2025-01-05
8,68,USA,Padrao,145.23,Ficcao cientifica,2024-10-30
9,39,UK,Basico,950.14,Acao,2024-04-16
10,55,Mexico,Padrao,696.66,Horror,2024-07-03
11,26,Japan,Padrao,290.31,Acao,2024-09-11
12,62,USA,Padrao,490.39,Acao,2024-06-12
13,65,Australia,Premium,712.23,Comedia,2024-08-08
14,35,Germany,Premium,73.63,Ficcao cientifica,2024-10-02
15,68,USA,Premium,359.3,Ficcao cientifica,2024-07-25
16,39,Australia,Premium,768.19,Comedia,2024-10-11
17,74,UK,Padrao,610.7,Drama,2024-07-03
18,59,Canada,Premium,813.46,Documentario,2024-08-08
19,63,Brazil,Premium,963.64,Acao,2024-08-08
20,67,Canada,Padrao,460.6,Comedia,2024-12-07
21,47,France,Padrao,637.43,Horror,2025-01-21
22,46,UK,Premium,620.74,Comedia,2024-04-19
23,40,UK,Basico,451.59,Drama,2024-04-08
24,46,UK,Basico,388.91,Horror,2024-10-16
25,37,Canada,Basico,418.2,Horror,2024-05-26
26,26,Brazil,Premium,95.46,Ficcao cientifica,2024-08-23
27,17,Mexico,Padrao,253.6,Documentario,2024-09-29
28,37,France,Premium,936.05,Comedia,2025-01-07
29,59,Mexico,Basico,971.97,Drama,2024-11-03
30,67,Australia,Basico,542.57,Acao,2025-02-11
31,14,Germany,Premium,81.89,Drama,2024-08-06
32,27,Canada,Padrao,568.86,Ficcao cientifica,2025-02-01
33,59,UK,Padrao,67.28,Ficcao cientifica,2024-07-21
34,56,Mexico,Basico,835.85,Documentario,2024-07-11
35,52,India,Basico,91.07,Ficcao cientifica,2024-12-04
36,26,UK,Basico,703.81,Comedia,2024-06-06
37,64,Germany,Basico,693.84,Documentario,2024-06-28
38,80,Brazil,Premium,431.61,Drama,2024-08-08
39,70,USA,Padrao,13.5,Comedia,2024-10-27
40,15,Brazil,Premium,914.7,Horror,2024-04-30
41,23,Germany,Padrao,404.84,Romance,2024-10-29
42,40,Canada,Premium,610.93,Romance,2024-10-02
43,35,Canada,Premium,834.96,Documentario,2024-06-08
44,68,Japan,Basico,145.66,Documentario,2024-04-12
45,50,USA,Basico,370.08,Acao,2024-03-30
46,45,India,Padrao,474.83,Drama,2024-11-01
47,16,Brazil,Premium,321.21,Documentario,2024-04-13
48,40,Australia,Basico,197.08,Comedia,2024-10-19
49,57,Australia,Premium,420.58,Ficcao cientifica,2024-09-18
50,72,Brazil,Basico,479.4,Acao,2024-07-13
51,53,Germany,Padrao,12.4,Horror,2025-02-09
52,55,Japan,Basico,157.64,Acao,2024-12-28
53,65,Canada,Padrao,589.28,Comedia,2025-02-21
54,27,France,Padrao,367.56,Romance,2025-02-27
55,72,USA,Premium,889.42,Horror,2024-12-11
56,16,Mexico,Premium,739.71,Ficcao cientifica,2024-08-11
57,55,Japan,Basico,672.43,Documentario,2024-12-01
58,29,USA,Premium,625.92,Horror,2024-05-02
59,41,Japan,Premium,611.38,Drama,2024-09-29
60,49,Australia,Premium,997.8,Comedia,2024-08-14
61,70,Canada,Padrao,17.03,Horror,2024-07-11
62,70,India,Padrao,251.57,Drama,2024-05-07
63,68,France,Basico,247.53,Romance,2025-02-15
64,55,France,Basico,637.46,Acao,2024-10-28
65,28,USA,Premium,331.5,Comedia,2025-01-10
66,40,France,Premium,539.51,Romance,2024-05-15
67,27,Canada,Premium,347.83,Romance,2024-07-25
68,33,Brazil,Basico,772.69,Acao,2025-01-11
69,66,Brazil,Premium,531.37,Ficcao cientifica,2024-08-22
70,27,Germany,Padrao,868.11,Acao,2024-11-11
71,52,Canada,Basico,482.75,Acao,2024-10-03
72,45,Germany,Basico,111.95,Comedia,2024-10-31
73,29,UK,Padrao,915.15,Drama,2025-02-12
74,58,USA,Padrao,255.7,Ficcao cientifica,2024-12-08
75,52,Germany,Premium,351.09,Ficcao cientifica,2024-11-09
76,51,India,Basico,890.7,Ficcao cientifica,2024-05-18
77,46,Brazil,Basico,452.21,Romance,2024-08-21
78,60,India,Padrao,703.49,Comedia,2024-06-06
79,27,Australia,Premium,114.84,Romance,2024-12-21
80,75,India,Premium,735.79,Documentario,2024-10-16
81,70,USA,Premium,486.56,Horror,2024-05-15
82,78,France,Premium,443.05,Drama,2024-11-20
83,74,Australia,Premium,609.74,Documentario,2024-08-16
84,70,France,Premium,101.32,Romance,2024-07-19
85,59,Germany,Basico,452.51,Acao,2024-11-16
86,73,Brazil,Basico,726.72,Documentario,2024-04-08
87,76,Japan,Padrao,164.45,Drama,2024-05-11
88,78,France,Basico,924.9,Comedia,2024-03-23
89,71,USA,Basico,740.04,Comedia,2024-12-14
90,73,UK,Premium,598.3,Comedia,2024-12-23
91,61,Japan,Padrao,523.21,Romance,2024-04-28
92,70,Australia,Basico,858.29,Drama,2024-11-09
93,49,Japan,Padrao,635.38,Documentario,2024-04-10
94,40,Brazil,Padrao,402.75,Documentario,2024-09-20
95,33,France,Basico,435.56,Comedia,2025-03-05
96,37,France,Padrao,164.11,Romance,2024-05-16
97,49,USA,Premium,413.2,Ficcao cientifica,2024-07-22
98,32,Canada,Premium,626.92,Horror,2024-04-26
99,57,Australia,Basico,731.09,Romance,2024-10-23
100,31,Japan,Basico,122.87,Romance,2024-07-04
101,18,France,Padrao,540.53,Acao,2024-09-07
102,55,Australia,Premium,503.97,Horror,2025-03-08
103,70,Japan,Padrao,225.38,Acao,2024-12-12
104,79,USA,Basico,135.98,Drama,2024-03-14
105,39,USA,Basico,709.87,Horror,2024-12-13
106,67,Japan,Padrao,488.31,Comedia,2025-01-28
107,77,UK,Premium,690.18,Drama,2024-11-18
108,57,Canada,Basico,808.07,Acao,2024-09-04
109,17,Australia,Padrao,978.84,Comedia,2025-02-27
110,53,Australia,Premium,81.11,Horror,2024-03-09
111,37,Australia,Basico,271.58,Romance,2024-05-29
112,43,Canada,Premium,229.82,Comedia,2024-11-23
113,34,France,Basico,748.26,Documentario,2024-08-12
114,70,France,Premium,356.57,Documentario,2024-03-23
115,23,Canada,Premium,87.79,Documentario,2024-09-03
116,37,Mexico,Padrao,627.39,Comedia,2024-08-31
117,33,France,Basico,13.55,Romance,2024-05-12
118,15,UK,Premium,336.13,Drama,2024-05-12
119,50,UK,Basico,251.13,Horror,2024-10-17
120,55,Canada,Padrao,175.47,Drama,2024-12-04
121,44,Canada,Premium,98.9,Acao,2025-01-08
122,44,Canada,Padrao,988.14,Drama,2025-01-29
123,80,UK,Padrao,816.36,Documentario,2024-09-07
124,58,Brazil,Basico,732.09,Romance,2025-02-01
125,20,Australia,Basico,202.57,Acao,2024-09-18
126,68,Germany,Padrao,758.62,Romance,2024-03-17
127,61,Japan,Premium,10.31,Romance,2024-07-24
128,70,Brazil,Padrao,633.29,Romance,2025-03-05
129,63,Germany,Premium,278.69,Documentario,2024-12-25
130,77,India,Basico,147.04,Horror,2024-07-31
131,79,Mexico,Premium,884.66,Documentario,2025-02-23
132,44,UK,Premium,485.81,Ficcao cientifica,2024-07-04
133,36,USA,Padrao,479.08,Comedia,2024-05-10
134,37,Germany,Basico,744.34,Drama,2025-02-12
135,70,Mexico,Basico,17.94,Documentario,2024-10-21
136,78,Canada,Padrao,457.57,Comedia,2025-03-04
137,37,Australia,Premium,325.1,Acao,2025-02-10
138,46,Mexico,Padrao,18.62,Comedia,2024-09-08
139,38,UK,Padrao,80.87,Romance,2024-11-27
140,67,Brazil,Padrao,164.13,Comedia,2024-10-30
141,62,Mexico,Premium,640.75,Horror,2024-06-20
142,53,USA,Padrao,793.72,Romance,2024-08-25
143,54,Germany,Padrao,517.41,Acao,2024-04-19
