id_Cliente,Idade,Genero,Ganho_Anual_(USD),Ganho_Mensal,Nivel_Escolar,Tempo_Uso_Redes_Sociais,Plataforma_de_Uso,Grau_de_Influencia,Decisao_de_Compra,Categoria_do_Produto,Produto,Total_Gasto (USD),Marca,Cidade
1,28,Feminino,45000,3750,Graduacao,2.5,"Instagram, Twitter",Muito_influenciavel,Sim,Fashion,Dress,200,"Nike, Zara",New York
2,35,Masculino,60000,5000,Mestrado,1.8,"Facebook, Instagram",Alguma_Influencia,Sim,Electronics,Smartphone,800,"Apple, Samsung",Los Angeles
3,22,Nao-Binario,32000,2667,Ensino_Medio,4.0,"TikTok, Snapchat",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,Chicago
4,40,Masculino,75000,6250,Doutorado,3.2,"Facebook, LinkedIn",Muito_influenciavel,Sim,Food,Burger,50,McDonald's,Houston
5,29,Feminino,55000,4583,Graduacao,2.0,"Instagram, TikTok",Alguma_Influencia,Sim,Beauty,Makeup,100,Sephora,Miami
6,45,Masculino,80000,6667,Graduacao,3.5,"Twitter, LinkedIn",Muito_influenciavel,Sim,Electronics,TV,600,Samsung,San Francisco
7,32,Feminino,58000,4833,Mestrado,2.2,"Instagram, Facebook",Alguma_Influencia,Sim,Home Decor,Sofa,300,IKEA,Seattle
8,25,Feminino,40000,3333,Graduacao,3.0,"TikTok, Instagram",Alguma_Influencia,Sim,Fashion,Shoes,150,H&M,Atlanta
9,30,Masculino,62000,5167,Graduacao,2.8,"Facebook, Twitter",Muito_influenciavel,Sim,Electronics,Laptop,750,Sony,Miami
10,27,Feminino,48000,4000,Mestrado,2.7,"Instagram, TikTok",Muito_influenciavel,Sim,Beauty,Skincare,120,MAC Cosmetics,Los Angeles
11,38,Feminino,70000,5833,Doutorado,2.0,"LinkedIn, Twitter",Alguma_Influencia,Sim,Fitness,Running Shoes,250,"Nike, Adidas",San Diego
12,24,Masculino,36000,3000,Ensino_Medio,5.0,"Snapchat, Instagram",Nao_Influenciavel,Nao,Indefinido,Nao convertido,0,Indefinido,Boston
13,31,Feminino,56000,4667,Graduacao,2.3,"Facebook, TikTok",Alguma_Influencia,Sim,Home Decor,Bedding,180,"IKEA, Target",Phoenix
14,26,Masculino,48000,4000,Mestrado,2.2,"Instagram, Twitter",Muito_influenciavel,Sim,Fashion,T-shirt,130,"Zara, H&M",Denver
15,29,Feminino,51000,4250,Graduacao,3.8,"TikTok, Snapchat",Muito_influenciavel,Sim,Beauty,Lipstick,90,"Sephora, L'Oréal",Chicago
16,34,Masculino,70000,5833,Graduacao,2.5,"Facebook, Instagram",Alguma_Influencia,Sim,Electronics,Tablet,700,"Apple, Microsoft",New York
17,28,Feminino,55000,4583,Mestrado,2.0,"Instagram, Pinterest",Alguma_Influencia,Sim,Home Decor,Wall Art,220,"IKEA, Wayfair",Austin
18,36,Masculino,68000,5667,Graduacao,2.9,"Twitter, LinkedIn",Muito_influenciavel,Sim,Fitness,Gym Equipment,180,"Nike, Under Armour",San Francisco
19,33,Feminino,62000,5167,Graduacao,3.1,"Instagram, TikTok",Muito_influenciavel,Sim,Beauty,Perfume,110,"Sephora, Clinique",Miami
20,23,Masculino,42000,3500,Ensino_Medio,4.2,"Snapchat, Facebook",Alguma_Influencia,Sim,Electronics,Headphones,400,"Sony, LG",Chicago
21,29,Feminino,58000,4833,Graduacao,2.3,"Instagram, Twitter",Alguma_Influencia,Sim,Fashion,Jeans,140,"Levi's, H&M",Los Angeles
22,31,Masculino,62000,5167,Graduacao,2.7,"Facebook, Instagram",Muito_influenciavel,Sim,Electronics,Camera,900,"Canon, Nikon",San Francisco
23,26,Masculino,48000,4000,Graduacao,2.5,"TikTok, Snapchat",Alguma_Influencia,Sim,Beauty,Haircare,70,"Pantene, L'Oréal",Chicago
24,27,Feminino,52000,4333,Mestrado,3.5,"Instagram, Pinterest",Muito_influenciavel,Sim,Home Decor,Lighting,250,"IKEA, Philips",Miami
25,34,Masculino,72000,6000,Doutorado,2.8,"LinkedIn, Twitter",Alguma_Influencia,Sim,Fitness,Dumbbells,120,"Bowflex, NordicTrack",Seattle
26,30,Feminino,55000,4583,Mestrado,2.8,"Instagram, TikTok",Alguma_Influencia,Sim,Fashion,Handbag,250,"Coach, Michael Kors",New York
27,28,Masculino,48000,4000,Graduacao,3.0,"Facebook, Instagram",Muito_influenciavel,Sim,Electronics,Gaming Console,400,"Sony, Microsoft",Los Angeles
28,25,Feminino,46000,3833,Graduacao,2.7,"TikTok, Snapchat",Alguma_Influencia,Sim,Beauty,Skincare,90,"Neutrogena, CeraVe",Austin
29,27,Masculino,52000,4333,Graduacao,2.2,"Instagram, Twitter",Alguma_Influencia,Sim,Home Decor,Furniture,400,"IKEA, Ashley Furniture",Boston
30,29,Feminino,54000,4500,Mestrado,2.9,"Facebook, TikTok",Muito_influenciavel,Sim,Fashion,Sneakers,180,"Nike, Puma",Miami
31,33,Masculino,62000,5167,Doutorado,3.1,"LinkedIn, Twitter",Muito_influenciavel,Sim,Electronics,Smartwatch,300,"Apple, Garmin",San Francisco
32,26,Feminino,46000,3833,Graduacao,2.6,"Instagram, TikTok",Muito_influenciavel,Sim,Beauty,Perfume,70,"Chanel, Dior",Los Angeles
33,40,Masculino,78000,6500,Mestrado,2.2,"Twitter, LinkedIn",Alguma_Influencia,Sim,Fitness,Treadmill,1200,"NordicTrack, Peloton",Houston
34,24,Feminino,43000,3583,Ensino_Medio,3.3,"Facebook, Snapchat",Nao_Influenciavel,Sim,Indefinido,Nao convertido,0,Indefinido,Chicago
35,29,Masculino,58000,4833,Graduacao,2.9,"Instagram, Twitter",Alguma_Influencia,Sim,Fashion,Watch,350,"Rolex, Casio",New York
36,35,Feminino,68000,5667,Mestrado,3.2,"Facebook, Pinterest",Muito_influenciavel,Sim,Home Decor,Curtains,80,"IKEA, Target",Austin
37,33,Masculino,70000,5833,Graduacao,2.7,"Instagram, TikTok",Muito_influenciavel,Sim,Electronics,Headset,150,"Sony, Bose",San Diego
38,27,Feminino,48000,4000,Graduacao,2.5,"TikTok, Instagram",Alguma_Influencia,Sim,Beauty,Nail Polish,40,"OPI, Essie",Chicago
39,28,Masculino,52000,4333,Mestrado,2.9,"Facebook, Twitter",Alguma_Influencia,Sim,Fitness,Yoga Mat,20,"Gaiam, Manduka",Boston
40,29,Feminino,54000,4500,Mestrado,3.0,"Instagram, Pinterest",Muito_influenciavel,Sim,Fashion,Sunglasses,100,"Ray-Ban, Oakley",Miami
41,32,Masculino,66000,5500,Doutorado,2.8,"LinkedIn, Twitter",Muito_influenciavel,Sim,Electronics,Soundbar,300,"Bose, Sonos",San Francisco
42,26,Feminino,48000,4000,Graduacao,2.4,"Facebook, TikTok",Alguma_Influencia,Sim,Home Decor,Kitchen Appliances,350,"KitchenAid, Cuisinart",Phoenix
43,30,Masculino,58000,4833,Graduacao,2.5,"Snapchat, Instagram",Alguma_Influencia,Sim,Fashion,Suit,450,"Brooks Brothers, Zara",Austin
44,27,Feminino,52000,4333,Mestrado,2.3,"Instagram, Pinterest",Muito_influenciavel,Sim,Beauty,Mascara,40,"Maybelline, L'Oréal",Los Angeles
45,38,Masculino,72000,6000,Doutorado,2.9,"Facebook, LinkedIn",Alguma_Influencia,Sim,Fitness,Home Gym Equipment,800,"Bowflex, NordicTrack",Seattle
46,28,Feminino,55000,4583,Mestrado,2.2,"Instagram, Twitter",Muito_influenciavel,Sim,Home Decor,Rugs,120,"IKEA, Wayfair",Atlanta
47,36,Masculino,70000,5833,Graduacao,3.1,"Twitter, Instagram",Muito_influenciavel,Sim,Electronics,Smart Speaker,100,"Amazon Echo, Google Home",New York
48,29,Feminino,54000,4500,Mestrado,2.7,"TikTok, Instagram",Alguma_Influencia,Sim,Beauty,Foundation,30,"Maybelline, CoverGirl",Miami
49,32,Masculino,62000,5167,Graduacao,2.6,"Facebook, Twitter",Alguma_Influencia,Sim,Fashion,Sunglasses,200,"Ray-Ban, Oakley",Boston
50,28,Feminino,48000,4000,Graduacao,2.1,"Instagram, TikTok",Muito_influenciavel,Sim,Home Decor,Curtains,60,"IKEA, Target",Los Angeles
51,31,Masculino,60000,5000,Graduacao,2.9,"Twitter, Facebook",Alguma_Influencia,Sim,Electronics,Gaming Console,450,"Sony, Microsoft",Houston
52,29,Feminino,58000,4833,Mestrado,2.7,"Instagram, Pinterest",Muito_influenciavel,Sim,Beauty,Lipstick,40,"MAC Cosmetics, Revlon",Seattle
53,33,Masculino,68000,5667,Doutorado,2.8,"LinkedIn, TikTok",Muito_influenciavel,Sim,Fitness,Treadmill,1100,"NordicTrack, Peloton",San Francisco
54,28,Feminino,50000,4167,Graduacao,2.5,"TikTok, Snapchat",Alguma_Influencia,Sim,Fashion,Handbag,200,"Coach, Michael Kors",Los Angeles
55,29,Masculino,52000,4333,Graduacao,2.2,"Instagram, Twitter",Alguma_Influencia,Sim,Home Decor,Furniture,420,"IKEA, West Elm",Boston
56,26,Feminino,47000,3917,Graduacao,2.3,"Facebook, TikTok",Alguma_Influencia,Sim,Electronics,Bluetooth Speaker,70,"JBL, Bose",Phoenix
57,28,Masculino,52000,4333,Graduacao,2.0,"Instagram, Twitter",Alguma_Influencia,Sim,Fashion,Watch,300,"Rolex, Seiko",Los Angeles
58,32,Feminino,59000,4917,Mestrado,2.5,"Pinterest, Instagram",Alguma_Influencia,Sim,Home Decor,Wall Clock,50,"IKEA, Howard Miller",Seattle
59,34,Masculino,65000,5417,Doutorado,2.8,"Twitter, LinkedIn",Muito_influenciavel,Sim,Fitness,Elliptical Machine,900,"NordicTrack, Sole Fitness",Houston
60,28,Feminino,48000,4000,Graduacao,2.2,"Snapchat, Instagram",Alguma_Influencia,Sim,Beauty,Skincare,80,"Neutrogena, CeraVe",Chicago
61,27,Masculino,51000,4250,Graduacao,2.6,"Instagram, Twitter",Alguma_Influencia,Sim,Fashion,Hoodie,70,"Nike, Adidas",New York
62,33,Feminino,62000,5167,Mestrado,2.9,"Facebook, TikTok",Muito_influenciavel,Sim,Home Decor,Wall Art,150,"IKEA, Wayfair",Los Angeles
63,29,Masculino,55000,4583,Graduacao,2.2,"TikTok, Instagram",Muito_influenciavel,Sim,Electronics,Wireless Earbuds,100,"Apple, Sony",Miami
64,30,Feminino,57000,4750,Mestrado,3.2,"Instagram, Pinterest",Muito_influenciavel,Sim,Beauty,Lip Gloss,40,"Fenty Beauty, NYX",Austin
