ID_Cliente,Idade,Genero,Ganho_Anual (USD),Renda_Mensal,Nivel_de_educacao,Tempo_de_Uso (Horas/Dias),Redes_Sociais,Nivel_de_Influencia,Decisao_de_Compra,Categoria_do_Produto,Produto,Total_Gasto (USD),Nome_da_Marca,Cidade
1,28,Feminino,45000,3750.0,Bacharelado,2.5,"Instagram, Twitter",Muito Influenciavel,Sim,Fashion,Dress,200,"Nike, Zara",New York
2,35,Masculino,60000,5000.0,Mestrado,1.8,"Facebook, Instagram",Alguma Influencia,Sim,Electronics,Smartphone,800,"Apple, Samsung",Los Angeles
4,40,Masculino,75000,6250.0,Doutorado,3.2,"Facebook, LinkedIn",Muito Influenciavel,Sim,Food,Burger,50,McDonald's,Houston
5,29,Feminino,55000,4583.33,Bacharelado,2.0,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Makeup,100,Sephora,Miami
6,45,Masculino,80000,6666.67,Bacharelado,3.5,"Twitter, LinkedIn",Muito Influenciavel,Sim,Electronics,TV,600,Samsung,San Francisco
7,32,Feminino,58000,4833.33,Mestrado,2.2,"Instagram, Facebook",Alguma Influencia,Sim,Home Decor,Sofa,300,IKEA,Seattle
8,25,Feminino,40000,3333.33,Bacharelado,3.0,"TikTok, Instagram",Alguma Influencia,Sim,Fashion,Shoes,150,H&M,Atlanta
9,30,Masculino,62000,5166.67,Bacharelado,2.8,"Facebook, Twitter",Muito Influenciavel,Sim,Electronics,Laptop,750,Sony,Miami
10,27,Feminino,48000,4000.0,Mestrado,2.7,"Instagram, TikTok",Muito Influenciavel,Sim,Beauty,Skincare,120,MAC Cosmetics,Los Angeles
11,38,Feminino,70000,5833.33,Doutorado,2.0,"LinkedIn, Twitter",Alguma Influencia,Sim,Fitness,Running Shoes,250,"Nike, Adidas",San Diego
12,24,Masculino,36000,3000.0,Ensino Medio,5.0,"Snapchat, Instagram",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Boston
13,31,Feminino,56000,4666.67,Bacharelado,2.3,"Facebook, TikTok",Alguma Influencia,Sim,Home Decor,Bedding,180,"IKEA, Target",Phoenix
14,26,Masculino,48000,4000.0,Mestrado,2.2,"Instagram, Twitter",Muito Influenciavel,Sim,Fashion,T-shirt,130,"Zara, H&M",Denver
